name;category;font_case;font_family;font_variant;font_weight;latex_opening_tag;latex_content;latex_closing_tag;unicode_limited_content;unicode_extended_content
Greek beta;letter;uppercase;serif;normal;regular;;\Beta;;Beta;Β
Greek gamma;letter;uppercase;serif;normal;regular;;\Gamma;;Gamma;Γ
Greek delta;letter;uppercase;serif;normal;regular;;\Delta;;Delta;Δ
Greek epsilon;letter;uppercase;serif;normal;regular;;\Epsilon;;Epsilon;Ε
Greek zeta;letter;uppercase;serif;normal;regular;;\Zeta;;Zeta;Ζ
Greek eta;letter;uppercase;serif;normal;regular;;\Eta;;Eta;Η
Greek theta;letter;uppercase;serif;normal;regular;;\Theta;;Theta;Θ
Greek iota;letter;uppercase;serif;normal;regular;;\Iota;;Iota;Ι
Greek kappa;letter;uppercase;serif;normal;regular;;\Kappa;;Kappa;Κ
Greek lambda;letter;uppercase;serif;normal;regular;;\Lambda;;Lambda;Λ
Greek mu;letter;uppercase;serif;normal;regular;;\Mu;;Mu;Μ
Greek nu;letter;uppercase;serif;normal;regular;;\Nu;;Nu;Ν
Greek xi;letter;uppercase;serif;normal;regular;;\Xi;;Xi;Ξ
Greek omicron;letter;uppercase;serif;normal;regular;;\Omicron;;Omicron;Ο
Greek pi;letter;uppercase;serif;normal;regular;;\Pi;;Pi;Π
Greek rho;letter;uppercase;serif;normal;regular;;\Rho;;Rho;Ρ
Greek sigma;letter;uppercase;serif;normal;regular;;\Sigma;;Sigma;Σ
Greek tau;letter;uppercase;serif;normal;regular;;\Tau;;Tau;Τ
Greek upsilon;letter;uppercase;serif;normal;regular;;\Upsilon;;Upsilon;Υ
Greek phi;letter;uppercase;serif;normal;regular;;\Phi;;Phi;Φ
Greek chi;letter;uppercase;serif;normal;regular;;\Chi;;Chi;Χ
Greek psi;letter;uppercase;serif;normal;regular;;\Psi;;Psi;Ψ
Greek omega;letter;uppercase;serif;normal;regular;;\Omega;;Omega;Ω
Greek alpha;letter;uppercase;serif;normal;bold;\mathbf{;\Alpha;};bold-Alpha;𝚨
Greek beta;letter;uppercase;serif;normal;bold;\mathbf{;\Beta;};bold-Beta;𝚩
Greek gamma;letter;uppercase;serif;normal;bold;\mathbf{;\Gamma;};bold-Gamma;𝚪
Greek delta;letter;uppercase;serif;normal;bold;\mathbf{;\Delta;};bold-Delta;𝚫
Greek epsilon;letter;uppercase;serif;normal;bold;\mathbf{;\Epsilon;};bold-Epsilon;𝚬
Greek zeta;letter;uppercase;serif;normal;bold;\mathbf{;\Zeta;};bold-Zeta;𝚭
Greek eta;letter;uppercase;serif;normal;bold;\mathbf{;\Eta;};bold-Eta;𝚮
Greek theta;letter;uppercase;serif;normal;bold;\mathbf{;\Theta;};bold-Theta;𝚯
Greek iota;letter;uppercase;serif;normal;bold;\mathbf{;\Iota;};bold-Iota;𝚰
Greek kappa;letter;uppercase;serif;normal;bold;\mathbf{;\Kappa;};bold-Kappa;𝚱
Greek lambda;letter;uppercase;serif;normal;bold;\mathbf{;\Lambda;};bold-Lambda;𝚲
Greek mu;letter;uppercase;serif;normal;bold;\mathbf{;\Mu;};bold-Mu;𝚳
Greek nu;letter;uppercase;serif;normal;bold;\mathbf{;\Nu;};bold-Nu;𝚴
Greek xi;letter;uppercase;serif;normal;bold;\mathbf{;\Xi;};bold-Xi;𝚵
Greek omicron;letter;uppercase;serif;normal;bold;\mathbf{;\Omicron;};bold-Omicron;𝚶
Greek pi;letter;uppercase;serif;normal;bold;\mathbf{;\Pi;};bold-Pi;𝚷
Greek rho;letter;uppercase;serif;normal;bold;\mathbf{;\Rho;};bold-Rho;𝚸
Greek sigma;letter;uppercase;serif;normal;bold;\mathbf{;\Sigma;};bold-Sigma;𝚺
Greek tau;letter;uppercase;serif;normal;bold;\mathbf{;\Tau;};bold-Tau;𝚻
Greek upsilon;letter;uppercase;serif;normal;bold;\mathbf{;\Upsilon;};bold-Upsilon;𝚼
Greek phi;letter;uppercase;serif;normal;bold;\mathbf{;\Phi;};bold-Phi;𝚽
Greek chi;letter;uppercase;serif;normal;bold;\mathbf{;\Chi;};bold-Chi;𝚾
Greek psi;letter;uppercase;serif;normal;bold;\mathbf{;\Psi;};bold-Psi;𝚿
Greek omega;letter;uppercase;serif;normal;bold;\mathbf{;\Omega;};bold-Omega;𝛀
Greek alpha;letter;uppercase;serif;italic;regular;\textit{;\Alpha;};italic-Alpha;𝛢
Greek beta;letter;uppercase;serif;italic;regular;\textit{;\Beta;};italic-Beta;𝛣
Greek gamma;letter;uppercase;serif;italic;regular;\textit{;\Gamma;};italic-Gamma;𝛤
Greek delta;letter;uppercase;serif;italic;regular;\textit{;\Delta;};italic-Delta;𝛥
Greek epsilon;letter;uppercase;serif;italic;regular;\textit{;\Epsilon;};italic-Epsilon;𝛦
Greek zeta;letter;uppercase;serif;italic;regular;\textit{;\Zeta;};italic-Zeta;𝛧
Greek eta;letter;uppercase;serif;italic;regular;\textit{;\Eta;};italic-Eta;𝛨
Greek theta;letter;uppercase;serif;italic;regular;\textit{;\Theta;};italic-Theta;𝛩
Greek iota;letter;uppercase;serif;italic;regular;\textit{;\Iota;};italic-Iota;𝛪
Greek kappa;letter;uppercase;serif;italic;regular;\textit{;\Kappa;};italic-Kappa;𝛫
Greek lambda;letter;uppercase;serif;italic;regular;\textit{;\Lambda;};italic-Lambda;𝛬
Greek mu;letter;uppercase;serif;italic;regular;\textit{;\Mu;};italic-Mu;𝛭
Greek nu;letter;uppercase;serif;italic;regular;\textit{;\Nu;};italic-Nu;𝛮
Greek xi;letter;uppercase;serif;italic;regular;\textit{;\Xi;};italic-Xi;𝛯
Greek omicron;letter;uppercase;serif;italic;regular;\textit{;\Omicron;};italic-Omicron;𝛰
Greek pi;letter;uppercase;serif;italic;regular;\textit{;\Pi;};italic-Pi;𝛱
Greek rho;letter;uppercase;serif;italic;regular;\textit{;\Rho;};italic-Rho;𝛲
Greek sigma;letter;uppercase;serif;italic;regular;\textit{;\Sigma;};italic-Sigma;𝛴
Greek tau;letter;uppercase;serif;italic;regular;\textit{;\Tau;};italic-Tau;𝛵
Greek upsilon;letter;uppercase;serif;italic;regular;\textit{;\Upsilon;};italic-Upsilon;𝛶
Greek phi;letter;uppercase;serif;italic;regular;\textit{;\Phi;};italic-Phi;𝛷
Greek chi;letter;uppercase;serif;italic;regular;\textit{;\Chi;};italic-Chi;𝛸
Greek psi;letter;uppercase;serif;italic;regular;\textit{;\Psi;};italic-Psi;𝛹
Greek omega;letter;uppercase;serif;italic;regular;\textit{;\Omega;};italic-Omega;𝛺
Greek alpha;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Alpha;}};italic-bold-Alpha;𝜜
Greek beta;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Beta;}};italic-bold-Beta;𝜝
Greek gamma;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Gamma;}};italic-bold-Gamma;𝜞
Greek delta;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Delta;}};italic-bold-Delta;𝜟
Greek epsilon;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Epsilon;}};italic-bold-Epsilon;𝜠
Greek zeta;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Zeta;}};italic-bold-Zeta;𝜡
Greek eta;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Eta;}};italic-bold-Eta;𝜢
Greek theta;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Theta;}};italic-bold-Theta;𝜣
Greek iota;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Iota;}};italic-bold-Iota;𝜤
Greek kappa;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Kappa;}};italic-bold-Kappa;𝜥
Greek lambda;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Lambda;}};italic-bold-Lambda;𝜦
Greek mu;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Mu;}};italic-bold-Mu;𝜧
Greek nu;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Nu;}};italic-bold-Nu;𝜨
Greek xi;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Xi;}};italic-bold-Xi;𝜩
Greek omicron;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Omicron;}};italic-bold-Omicron;𝜪
Greek pi;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Pi;}};italic-bold-Pi;𝜫
Greek rho;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Rho;}};italic-bold-Rho;𝜬
Greek sigma;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Sigma;}};italic-bold-Sigma;𝜮
Greek tau;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Tau;}};italic-bold-Tau;𝜯
Greek upsilon;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Upsilon;}};italic-bold-Upsilon;𝜰
Greek phi;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Phi;}};italic-bold-Phi;𝜱
Greek chi;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Chi;}};italic-bold-Chi;𝜲
Greek psi;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Psi;}};italic-bold-Psi;𝜳
Greek omega;letter;uppercase;serif;italic;bold;\textit{\mathbf{;\Omega;}};italic-bold-Omega;𝜴
