Rank|LRPT|Main Element|Arity|Is Canonical|Is Strictly Increasing|RPT Rank|Sequence Rank|Sequence Max Value
346|4(1, 0, 0)|4|3|False|False|8|294|4
347|5(0, 0, 0)|5|3|False|False|8|293|5
348|0(0, 0, 0, 0(1))|0|4|True|False|63|126|1
349|0(0, 0, 1, 2)|0|4|True|False|22|225|2
350|0(0, 1, 0, 2)|0|4|True|False|22|222|2
351|0(1, 0, 0, 2)|0|4|True|False|22|216|2
352|1(0, 0, 0, 2)|1|4|False|False|22|206|2
353|0(0, 0, 0(0), 0(0))|0|4|True|False|190|127|0
354|0(0, 1, 1, 0(0))|0|4|True|False|63|239|1
355|0(1, 0, 1, 0(0))|0|4|True|False|63|235|1
356|1(0, 0, 1, 0(0))|1|4|False|False|63|230|1
357|0(0, 0(0), 0, 0(0))|0|4|True|False|181|127|0
358|0(1, 1, 0, 0(0))|0|4|True|False|63|234|1
359|1(0, 1, 0, 0(0))|1|4|False|False|63|229|1
360|0(0(0), 0, 0, 0(0))|0|4|True|False|153|127|0
361|1(1, 0, 0, 0(0))|1|4|False|False|63|228|1
362|2(0, 0, 0, 0(0))|2|4|False|False|63|227|2
363|0(0, 0, 2, 1)|0|4|False|False|22|224|2
364|0(0, 1, 0(0), 1)|0|4|True|False|62|241|1
365|0(1, 0, 0(0), 1)|0|4|True|False|62|237|1
366|1(0, 0, 0(0), 1)|1|4|False|False|62|232|1
367|0(0, 0(0), 1, 1)|0|4|True|False|59|246|1
368|0(1, 1, 1, 1)|0|4|True|False|22|398|1
369|1(0, 1, 1, 1)|1|4|False|False|22|378|1
370|0(0(0), 0, 1, 1)|0|4|True|False|50|246|1
371|1(1, 0, 1, 1)|1|4|False|False|22|372|1
372|2(0, 0, 1, 1)|2|4|False|False|22|362|2
373|0(0, 2, 0, 1)|0|4|False|False|22|219|2
374|0(1, 0(0), 0, 1)|0|4|True|False|59|237|1
375|1(0, 0(0), 0, 1)|1|4|False|False|59|232|1
376|0(0(0), 1, 0, 1)|0|4|True|False|50|244|1
377|1(1, 1, 0, 1)|1|4|False|False|22|370|1
378|2(0, 1, 0, 1)|2|4|False|False|22|360|2
379|0(2, 0, 0, 1)|0|4|False|False|22|210|2
380|1(0(0), 0, 0, 1)|1|4|False|False|50|232|1
381|2(1, 0, 0, 1)|2|4|False|False|22|357|2
382|3(0, 0, 0, 1)|3|4|False|False|22|353|3
383|0(0, 0, 0(1), 0)|0|4|True|False|62|125|1
384|0(0, 1, 2, 0)|0|4|True|False|22|220|2
385|0(1, 0, 2, 0)|0|4|True|False|22|214|2
386|1(0, 0, 2, 0)|1|4|False|False|22|204|2
387|0(0, 0(0), 0(0), 0)|0|4|True|False|180|127|0
388|0(1, 1, 0(0), 0)|0|4|True|False|62|234|1
389|1(0, 1, 0(0), 0)|1|4|False|False|62|229|1
390|0(0(0), 0, 0(0), 0)|0|4|True|False|152|127|0
391|1(1, 0, 0(0), 0)|1|4|False|False|62|228|1
392|2(0, 0, 0(0), 0)|2|4|False|False|62|227|2
393|0(0, 2, 1, 0)|0|4|False|False|22|218|2
394|0(1, 0(0), 1, 0)|0|4|True|False|59|236|1
395|1(0, 0(0), 1, 0)|1|4|False|False|59|231|1
396|0(0(0), 1, 1, 0)|0|4|True|False|50|243|1
397|1(1, 1, 1, 0)|1|4|False|False|22|369|1
398|2(0, 1, 1, 0)|2|4|False|False|22|359|2
399|0(2, 0, 1, 0)|0|4|False|False|22|209|2
400|1(0(0), 0, 1, 0)|1|4|False|False|50|231|1
401|2(1, 0, 1, 0)|2|4|False|False|22|356|2
