Rank|Sequence|Rank as bits|Sum|Adjusted sum|Length|Rank in adjusted sum and length class|Image cardinality|Image|Is strictly increasing|Is RGF sequence
99|(0, 1, 2, 0)|(1, 1, 0, 0, 0, 1, 1)|3|7|4|13|3|(0, 1, 2)|False|True
100|(0, 1, 1, 1)|(1, 1, 0, 0, 1, 0, 0)|3|7|4|14|2|(0, 1)|False|True
101|(0, 1, 0, 2)|(1, 1, 0, 0, 1, 0, 1)|3|7|4|15|3|(0, 1, 2)|False|True
102|(0, 0, 3, 0)|(1, 1, 0, 0, 1, 1, 0)|3|7|4|16|2|(0, 3)|False|False
103|(0, 0, 2, 1)|(1, 1, 0, 0, 1, 1, 1)|3|7|4|17|3|(0, 1, 2)|False|False
104|(0, 0, 1, 2)|(1, 1, 0, 1, 0, 0, 0)|3|7|4|18|3|(0, 1, 2)|False|True
105|(0, 0, 0, 3)|(1, 1, 0, 1, 0, 0, 1)|3|7|4|19|2|(0, 3)|False|False
106|(2, 0, 0, 0, 0)|(1, 1, 0, 1, 0, 1, 0)|2|7|5|0|2|(0, 2)|False|False
107|(1, 1, 0, 0, 0)|(1, 1, 0, 1, 0, 1, 1)|2|7|5|1|2|(0, 1)|False|False
108|(1, 0, 1, 0, 0)|(1, 1, 0, 1, 1, 0, 0)|2|7|5|2|2|(0, 1)|False|False
109|(1, 0, 0, 1, 0)|(1, 1, 0, 1, 1, 0, 1)|2|7|5|3|2|(0, 1)|False|False
110|(1, 0, 0, 0, 1)|(1, 1, 0, 1, 1, 1, 0)|2|7|5|4|2|(0, 1)|False|False
111|(0, 2, 0, 0, 0)|(1, 1, 0, 1, 1, 1, 1)|2|7|5|5|2|(0, 2)|False|False
112|(0, 1, 1, 0, 0)|(1, 1, 1, 0, 0, 0, 0)|2|7|5|6|2|(0, 1)|False|True
113|(0, 1, 0, 1, 0)|(1, 1, 1, 0, 0, 0, 1)|2|7|5|7|2|(0, 1)|False|True
114|(0, 1, 0, 0, 1)|(1, 1, 1, 0, 0, 1, 0)|2|7|5|8|2|(0, 1)|False|True
115|(0, 0, 2, 0, 0)|(1, 1, 1, 0, 0, 1, 1)|2|7|5|9|2|(0, 2)|False|False
116|(0, 0, 1, 1, 0)|(1, 1, 1, 0, 1, 0, 0)|2|7|5|10|2|(0, 1)|False|True
117|(0, 0, 1, 0, 1)|(1, 1, 1, 0, 1, 0, 1)|2|7|5|11|2|(0, 1)|False|True
118|(0, 0, 0, 2, 0)|(1, 1, 1, 0, 1, 1, 0)|2|7|5|12|2|(0, 2)|False|False
119|(0, 0, 0, 1, 1)|(1, 1, 1, 0, 1, 1, 1)|2|7|5|13|2|(0, 1)|False|True
120|(0, 0, 0, 0, 2)|(1, 1, 1, 1, 0, 0, 0)|2|7|5|14|2|(0, 2)|False|False
121|(1, 0, 0, 0, 0, 0)|(1, 1, 1, 1, 0, 0, 1)|1|7|6|0|2|(0, 1)|False|False
122|(0, 1, 0, 0, 0, 0)|(1, 1, 1, 1, 0, 1, 0)|1|7|6|1|2|(0, 1)|False|True
123|(0, 0, 1, 0, 0, 0)|(1, 1, 1, 1, 0, 1, 1)|1|7|6|2|2|(0, 1)|False|True
124|(0, 0, 0, 1, 0, 0)|(1, 1, 1, 1, 1, 0, 0)|1|7|6|3|2|(0, 1)|False|True
125|(0, 0, 0, 0, 1, 0)|(1, 1, 1, 1, 1, 0, 1)|1|7|6|4|2|(0, 1)|False|True
126|(0, 0, 0, 0, 0, 1)|(1, 1, 1, 1, 1, 1, 0)|1|7|6|5|2|(0, 1)|False|True
127|(0, 0, 0, 0, 0, 0, 0)|(1, 1, 1, 1, 1, 1, 1)|0|7|7|0|1|(0,)|False|True
128|(7,)|(1, 0, 0, 0, 0, 0, 0, 0)|7|8|1|0|1|(7,)|True|False
129|(6, 0)|(1, 0, 0, 0, 0, 0, 0, 1)|6|8|2|0|2|(0, 6)|False|False
130|(5, 1)|(1, 0, 0, 0, 0, 0, 1, 0)|6|8|2|1|2|(1, 5)|False|False
131|(4, 2)|(1, 0, 0, 0, 0, 0, 1, 1)|6|8|2|2|2|(2, 4)|False|False
132|(3, 3)|(1, 0, 0, 0, 0, 1, 0, 0)|6|8|2|3|1|(3,)|False|False
133|(2, 4)|(1, 0, 0, 0, 0, 1, 0, 1)|6|8|2|4|2|(2, 4)|True|False
134|(1, 5)|(1, 0, 0, 0, 0, 1, 1, 0)|6|8|2|5|2|(1, 5)|True|False
